camis,inspection_date,dba,boro,zipcode,cuisine,score,grade,action,violation_count,critical_count,failed,latitude,longitude,yelp_rating,yelp_reviews,yelp_price,yelp_category,high_rating,temp_mean,temp_max,temp_min,precipitation_sum,rain_sum,snowfall_sum,wind_speed_mean,wind_gust_mean,cloud_cover_mean,food_complaints_total,rodent_complaints,food_safety_complaints,median_household_income,total_population,white_population,inspection_year,inspection_month,inspection_dow,inspection_quarter,is_weekend,prev_score,prev_failed,inspection_count,score_trend,grade_available,has_yelp,is_first_inspection,has_history,cuisine_grouped,yelp_category_primary,white_pct,score_bucket,has_location
30075445,2023-08-01,MORRIS PARK BAKE SHOP,BRONX,10462,Bakery Products/Desserts,38.0,,Violations were cited in the following area(s).,3,2,1,40.848231224526,-73.855971889932,4.0,82.0,2.0,"bakeries,desserts",1.0,21.975,27.0,17.0,0.0,0.0,0.0,11.808333333333332,22.133333333333336,16.75,3.0,0.0,0.0,47036.0,1443229.0,258727.0,2023,8,1,3,0,-1.0,-1.0,1,0.0,0,1,1,0,Bakery Products/Desserts,bakeries,0.1792695407312353,C,1
30075445,2023-08-22,MORRIS PARK BAKE SHOP,BRONX,10462,Bakery Products/Desserts,12.0,A,Violations were cited in the following area(s).,3,1,0,40.848231224526,-73.855971889932,4.0,82.0,2.0,"bakeries,desserts",1.0,22.1875,26.1,18.0,0.0,0.0,0.0,16.929166666666667,30.391666666666666,83.08333333333333,5.0,0.0,0.0,47036.0,1443229.0,258727.0,2023,8,1,3,0,38.0,1.0,2,-26.0,1,1,0,1,Bakery Products/Desserts,bakeries,0.1792695407312353,A,1
30075445,2024-11-08,MORRIS PARK BAKE SHOP,BRONX,10462,Bakery Products/Desserts,10.0,A,Violations were cited in the following area(s).,3,1,0,40.848231224526,-73.855971889932,4.0,82.0,2.0,"bakeries,desserts",1.0,13.5,20.6,6.7,0.0,0.0,0.0,14.945833333333333,27.09583333333333,6.333333333333333,2.0,0.0,0.0,47036.0,1443229.0,258727.0,2024,11,4,4,0,12.0,0.0,3,-2.0,1,1,0,1,Bakery Products/Desserts,bakeries,0.1792695407312353,A,1
30191841,2023-04-23,D.J. REYNOLDS,MANHATTAN,10019,Irish,10.0,A,Violations were cited in the following area(s).,2,2,0,40.767325711553,-73.984310423617,3.5,141.0,2.0,"irish,pubs",0.0,14.6,19.2,11.2,18.4,18.4,0.0,13.9625,26.52916666666667,69.375,13.0,0.0,0.0,99880.0,1645867.0,842952.0,2023,4,6,2,1,-1.0,-1.0,1,0.0,1,1,1,0,Other,irish,0.5121628904401145,A,1
30191841,2024-11-20,D.J. REYNOLDS,MANHATTAN,10019,Irish,24.0,,Violations were cited in the following area(s).,6,2,0,40.767325711553,-73.984310423617,3.5,141.0,2.0,"irish,pubs",0.0,11.775,15.9,7.2,0.0,0.0,0.0,5.445833333333333,14.5,56.166666666666664,21.0,0.0,0.0,99880.0,1645867.0,842952.0,2024,11,2,4,0,10.0,0.0,2,14.0,0,1,0,1,Other,irish,0.5121628904401145,B,1
40356018,2024-04-16,RIVIERA CATERERS,BROOKLYN,11224,American,0.0,A,Violations were cited in the following area(s).,1,0,0,40.579895663312,-73.982086655861,4.5,56.0,,catering,1.0,14.304166666666667,20.5,6.9,0.0,0.0,0.0,11.629166666666668,22.041666666666668,1.25,20.0,0.0,0.0,74692.0,2679620.0,1082004.0,2024,4,1,2,0,-1.0,-1.0,1,0.0,1,1,1,0,American,catering,0.4037900896395757,A,1
40356483,2023-11-16,WILKEN'S FINE FOOD,BROOKLYN,11234,Sandwiches,35.0,,Violations were cited in the following area(s).,6,3,1,40.620111590927,-73.906989489698,3.3,68.0,2.0,delis,0.0,8.808333333333334,17.9,1.9,0.0,0.0,0.0,8.608333333333333,14.8875,15.458333333333334,8.0,0.0,0.0,74692.0,2679620.0,1082004.0,2023,11,3,4,0,-1.0,-1.0,1,0.0,0,1,1,0,Sandwiches,delis,0.4037900896395757,C,1
40356483,2024-04-23,WILKEN'S FINE FOOD,BROOKLYN,11234,Sandwiches,27.0,B,Violations were cited in the following area(s).,5,3,0,40.620111590927,-73.906989489698,3.3,68.0,2.0,delis,0.0,9.266666666666667,14.8,2.2,0.0,0.0,0.0,15.391666666666666,27.554166666666664,22.75,7.0,0.0,0.0,74692.0,2679620.0,1082004.0,2024,4,1,2,0,35.0,1.0,2,-8.0,1,1,0,1,Sandwiches,delis,0.4037900896395757,B,1
40356731,2023-01-17,TASTE THE TROPICS ICE CREAM,BROOKLYN,11226,Frozen Desserts,9.0,A,Violations were cited in the following area(s).,2,1,0,40.640795017461,-73.948487981531,4.4,67.0,1.0,icecream,1.0,2.533333333333333,7.4,-2.0,1.4,1.4,0.0,8.137500000000001,15.5375,70.45833333333333,8.0,0.0,0.0,74692.0,2679620.0,1082004.0,2023,1,1,1,0,-1.0,-1.0,1,0.0,1,1,1,0,Other,icecream,0.4037900896395757,A,1
40356731,2024-04-08,TASTE THE TROPICS ICE CREAM,BROOKLYN,11226,Frozen Desserts,12.0,A,Violations were cited in the following area(s).,3,1,0,40.640795017461,-73.948487981531,4.4,67.0,1.0,icecream,1.0,8.908333333333333,18.0,0.9,1.0,1.0,0.0,7.966666666666666,15.583333333333334,56.708333333333336,17.0,0.0,0.0,74692.0,2679620.0,1082004.0,2024,4,0,2,0,9.0,0.0,2,3.0,1,1,0,1,Other,icecream,0.4037900896395757,A,1
