date,borough,food_complaints_total,rodent_complaints,food_safety_complaints
2023-01-01,BRONX,1,0,0
2023-01-01,BROOKLYN,8,0,0
2023-01-01,MANHATTAN,13,0,0
2023-01-01,QUEENS,10,0,0
2023-01-01,STATEN ISLAND,1,0,0
2023-01-02,BROOKLYN,7,0,0
2023-01-02,MANHATTAN,13,0,0
2023-01-02,QUEENS,4,0,0
2023-01-02,STATEN ISLAND,2,0,0
2023-01-03,BRONX,5,0,0
2023-01-03,BROOKLYN,7,0,0
2023-01-03,MANHATTAN,12,0,0
2023-01-03,QUEENS,15,0,0
2023-01-03,STATEN ISLAND,2,0,0
2023-01-04,BROOKLYN,11,0,0
2023-01-04,MANHATTAN,10,0,0
2023-01-04,QUEENS,8,0,0
2023-01-04,STATEN ISLAND,1,0,0
2023-01-05,BROOKLYN,9,0,0
2023-01-05,MANHATTAN,14,0,0
2023-01-05,QUEENS,16,0,0
2023-01-05,STATEN ISLAND,2,0,0
2023-01-06,BRONX,5,0,0
2023-01-06,BROOKLYN,14,0,0
2023-01-06,MANHATTAN,22,0,0
2023-01-06,QUEENS,11,0,0
2023-01-06,STATEN ISLAND,2,0,0
2023-01-07,BRONX,3,0,0
2023-01-07,BROOKLYN,12,0,0
2023-01-07,MANHATTAN,12,0,0
2023-01-07,QUEENS,9,0,0
2023-01-08,BRONX,1,0,0
2023-01-08,BROOKLYN,12,0,0
2023-01-08,MANHATTAN,15,0,0
2023-01-08,QUEENS,8,0,0
2023-01-09,BRONX,1,0,0
2023-01-09,BROOKLYN,12,0,0
2023-01-09,MANHATTAN,10,0,0
2023-01-09,QUEENS,9,0,0
2023-01-09,STATEN ISLAND,2,0,0
2023-01-10,BRONX,4,0,0
2023-01-10,BROOKLYN,12,0,0
2023-01-10,MANHATTAN,6,0,0
2023-01-10,QUEENS,10,0,0
2023-01-10,STATEN ISLAND,2,0,0
2023-01-11,BRONX,2,0,0
2023-01-11,BROOKLYN,7,0,0
2023-01-11,MANHATTAN,13,0,0
2023-01-11,QUEENS,10,0,0
2023-01-11,STATEN ISLAND,1,0,0
2023-01-12,BRONX,9,0,0
2023-01-12,BROOKLYN,9,0,0
2023-01-12,MANHATTAN,13,0,0
2023-01-12,QUEENS,12,0,0
2023-01-12,STATEN ISLAND,1,0,0
2023-01-13,BRONX,7,0,0
2023-01-13,BROOKLYN,11,0,0
2023-01-13,MANHATTAN,12,0,0
2023-01-13,QUEENS,10,0,0
2023-01-13,STATEN ISLAND,1,0,0
2023-01-14,BRONX,2,0,0
2023-01-14,BROOKLYN,8,0,0
2023-01-14,MANHATTAN,11,0,0
2023-01-14,QUEENS,6,0,0
2023-01-14,STATEN ISLAND,1,0,0
2023-01-15,BROOKLYN,11,0,0
2023-01-15,MANHATTAN,9,0,0
2023-01-15,QUEENS,11,0,0
2023-01-15,STATEN ISLAND,2,0,0
2023-01-16,BRONX,1,0,0
