camis,dba,boro,building,street,zipcode,phone,cuisine_description,latitude,longitude
30075445,MORRIS PARK BAKE SHOP,BRONX,1007,MORRIS PARK AVENUE,10462,7188924968,Bakery Products/Desserts,40.848231224526,-73.855971889932
30191841,D.J. REYNOLDS,MANHATTAN,351,WEST   57 STREET,10019,2122452912,Irish,40.767325711553,-73.984310423617
40356018,RIVIERA CATERERS,BROOKLYN,2780,STILLWELL AVENUE,11224,7183723031,American,40.579895663312,-73.982086655861
40356483,WILKEN'S FINE FOOD,BROOKLYN,7114,AVENUE U,11234,7184443838,Sandwiches,40.620111590927,-73.906989489698
40356731,TASTE THE TROPICS ICE CREAM,BROOKLYN,1839,NOSTRAND AVENUE,11226,7188560821,Frozen Desserts,40.640795017461,-73.948487981531
40357217,ASIA PLAZA CAFÉ,BRONX,2300,SOUTHERN BOULEVARD,10460,7187411426,American,40.850536751997,-73.88245508146
40359480,1 EAST 66TH STREET KITCHEN,MANHATTAN,1,EAST   66 STREET,10065,2128793900,American,40.768546914232,-73.969580578452
40359705,NATHAN'S FAMOUS,BROOKLYN,1310,SURF AVENUE,11224,7183332202,Hotdogs,40.575536869421,-73.981652264112
40360045,SEUDA FOODS,BROOKLYN,705,KINGS HIGHWAY,11223,7183751500,Jewish/Kosher,40.606186921432,-73.965466445897
40361618,SAL'S DELI,QUEENS,129-08,20 AVENUE,11356,7186619498,Sandwiches,40.781673836068,-73.839415976831
40361757,POPAL FRIED CHICKEN INC.,BROOKLYN,702,ROCKWAY AVENUE,,,,0.0,0.0
40362222,BURLINGTON INDUSTRIE,MANHATTAN,1345,AVENUE OF AMERICAS,10105,,,40.762598290493,-73.978459955773
40362264,P & S DELI GROCERY,MANHATTAN,730,COLUMBUS AVENUE,10025,2129323030,American,40.792620635885,-73.96770961573
40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,2129952570,American,40.725743617441,-73.997478107592
40362432,HO MEI,QUEENS,103-05,37 AVENUE,11368,7187796903,Chinese,40.753305911581,-73.864295375778
40362869,SHASHEMENE INT'L RESTAURANT,BROOKLYN,195,EAST   56 STREET,11203,3474300871,Caribbean,40.651983222786,-73.924574944152
40363298,CAFE METRO,MANHATTAN,625,8 AVENUE,10018,2127149342,American,40.756185423077,-73.990564733785
40363427,BAGELS N BUNS,STATEN ISLAND,2491,VICTORY BOULEVARD,10314,7187611900,Sandwiches,40.610267863828,-74.146401210286
40363834,CARVEL,STATEN ISLAND,1111,HYLAN BOULEVARD,10305,7188167807,Frozen Desserts,40.598553130746,-74.079646008177
40363920,NEW GOLDEN BILLION,BROOKLYN,976,RUTLAND ROAD,11212,7187357707,Chinese,40.662140594575,-73.92718021322
40364179,MISS MAIME'S SPOONBREAD TOO,MANHATTAN,364,WEST  110 STREET,10025,2128656744,Soul Food,40.80137126967,-73.96015994361
40364220,KOSHER BAGEL HOLE,BROOKLYN,1423,AVENUE J,11230,7182584150,Jewish/Kosher,40.625111128727,-73.962034339365
40364296,HAPPY GARDEN,BRONX,277,EAST KINGSBRIDGE ROAD,10458,7182955588,Chinese,40.863648812188,-73.894239617341
40364335,PETER LUGER STEAKHOUSE,BROOKLYN,178,BROADWAY,11211,7183877400,Steakhouse,40.709979804558,-73.962512437328
40364347,METROPOLITAN CLUB,MANHATTAN,1,EAST   60 STREET,10022,2128387400,American,40.764795521845,-73.97230783434
40364373,ISLE OF CAPRI,MANHATTAN,1028,3 AVENUE,10065,2127581902,Italian,40.76270773611,-73.965749576014
40364389,OLD TOWN BAR,MANHATTAN,45,EAST   18 STREET,10003,2125296732,American,40.73759507351,-73.989647208522
40364439,SEVILLA,MANHATTAN,62,CHARLES STREET,10014,2129293189,Spanish,40.734908378121,-74.00297328507
40364443,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,100,CENTRE STREET,10013,2129621037,American,40.71607656565,-74.001424896229
40364449,GOTTSCHEER HALL,QUEENS,657,FAIRVIEW AVENUE,11385,7183663030,German,40.706647972614,-73.90573574011
40364467,NYAC MAIN DINING ROOM,MANHATTAN,180,CENTRAL PARK SOUTH,10019,2127677085,American,40.766718222992,-73.978736594767
40364518,7B BAR,MANHATTAN,108,AVENUE B,10009,2126776742,American,40.724984562415,-73.981282649047
40364531,CAFE ATELIER (ART STUDENTS LEAGUE),MANHATTAN,215,WEST   57 STREET,10019,2122474510,American,40.765886941316,-73.980895665472
40364572,DONOHUE'S STEAK HOUSE,MANHATTAN,845,LEXINGTON AVENUE,10065,2127440938,Steakhouse,40.765512884509,-73.965769788003
40364581,JUNIOR'S,BROOKLYN,386,FLATBUSH AVENUE EXTENSION,11201,7188525257,American,40.690200145894,-73.981624196473
40364691,THE GEORGIAN SUITE KITCHEN,MANHATTAN,1A,EAST   77 STREET,10075,2127341468,Continental,40.775577501812,-73.964443126559
40364715,OLD HOMESTEAD,MANHATTAN,56,9 AVENUE,10011,2122429040,American,40.741372224356,-74.005037755098
40364744,NEW PARK PIZZERIA & RESTAURANT,QUEENS,156-71,CROSSBAY BOULEVARD,11414,7186413082,Pizza,40.663101703308,-73.840837932811
40364858,DOUGLASTON CLUB,QUEENS,600,WEST DRIVE,11363,7182293900,American,40.776329722511,-73.752835442703
40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,BRONX,2222,HAVILAND AVENUE,10462,7188229004,American,40.830610122115,-73.849646682665
40365013,CRYSTAL ROOM,STATEN ISLAND,67,OLYMPIA BOULEVARD,10305,7184478926,Italian,40.592814177678,-74.070677121271
40365075,MCSORLEY'S OLD ALE HOUSE,MANHATTAN,15,EAST    7 STREET,10003,2122542570,Irish,40.728584000789,-73.989536765481
40365120,SOUTH SHORE SWIMMING CLUB,STATEN ISLAND,6736,HYLAN BOULEVARD,10309,7182274285,American,40.508068517904,-74.228282145067
40365166,CORNER BISTRO,MANHATTAN,331,WEST    4 STREET,10014,2122429502,American,40.737924847314,-74.003861116033
40365239,DORRIAN'S RED HAND,MANHATTAN,1616,2 AVENUE,10028,2127726660,American,40.776404966262,-73.952802065662
40365288,KEATS,MANHATTAN,842,2 AVENUE,10017,2126825490,American,40.751598370567,-73.970894901051
40365387,ARTURO'S,MANHATTAN,106,WEST HOUSTON STREET,10012,2126773820,Italian,40.727234052041,-74.000515935209
40365499,YANKEE TAVERN,BRONX,72,EAST  161 STREET,10451,7182926130,American,40.827557861039,-73.925141196877
40365525,DONUT PUB,MANHATTAN,203,WEST   14 STREET,10011,2129290126,Donuts,40.738748341271,-74.000144342577
40365546,REBEN LUNCHEONETTE,BROOKLYN,229,HAVEMEYER STREET,11211,7183887696,Spanish,40.709039945161,-73.959151290226
40365577,V & T PIZZERIA,MANHATTAN,1024,AMSTERDAM AVENUE,10025,2126631708,Italian,40.803329420525,-73.963611914951
40365627,JAHN'S,QUEENS,81-04,37 AVENUE,11372,7186510700,American,40.74965336582,-73.885073567329
40365632,J&V FAMOUS PIZZA,BROOKLYN,6322,18 AVENUE,11204,7182322700,Pizza,40.619956732515,-73.989352140632
40365644,JOE ALLEN,MANHATTAN,326,WEST   46 STREET,10036,2125816464,American,40.760178896668,-73.988882031739
40365726,BARBETTA,MANHATTAN,319321,323 W. 46TH ST.,,2122469171,Italian,0.0,0.0
40365784,GARGIULO'S RESTAURANT,BROOKLYN,2911,WEST   15 STREET,11224,7182664891,Italian,40.576555331866,-73.982584323148
40365789,PATSY'S ITALIAN RESTAURANT,MANHATTAN,236,WEST   56 STREET,10019,2122473491,Italian,40.765618195284,-73.98239751366
40365841,PARK SIDE,QUEENS,107-01,CORONA AVENUE,11368,7182719871,Italian,40.743725104829,-73.856238382915
40365844,LAVELLE'S ADMIRALS CLUB,QUEENS,45-15,BROADWAY,11103,3475071821,Irish,40.757002312956,-73.914799999814
40365882,NEW YORK PIZZA SUPREMA,MANHATTAN,413,8 AVENUE,10001,2125948939,Pizza,40.750031951553,-73.995040989424
40365904,MEE SUM CAFE,MANHATTAN,26,PELL STREET,10013,2123495260,Coffee/Tea,40.714860627928,-73.998199974185
40365938,NANCY'S RESTAURANT,QUEENS,255-41,JAMAICA AVENUE,11001,7183434616,American,40.727412703327,-73.709620966368
40365942,HOP KEE,MANHATTAN,21,MOTT STREET,10013,2129648365,Chinese,40.71436383248,-73.998784360399
40365968,NANCY WHISKEY PUB,MANHATTAN,1,LISPENARD STREET,10013,2122269943,American,40.720539457665,-74.005010921281
40365972,BLARNEY BAR,QUEENS,146-09,JAMAICA AVENUE,11435,7185231983,American,40.701803341646,-73.808675609014
40366002,MARGHERITA PIZZA,QUEENS,163-04,JAMAICA AVENUE,11432,7186575780,Pizza,40.704667713048,-73.796822882442
40366054,HEALY'S PUB,QUEENS,10807,ROCKAWAY BEACH BOULEVARD,11694,7184749600,American,40.581733753666,-73.830282829448
40366132,DENINO'S PIZZERIA TAVERN,STATEN ISLAND,524,PORT RICHMOND AVENUE,10302,7184429401,Pizza,40.630024412021,-74.140168869243
40366154,MICHAEL'S RESTAURANT,BROOKLYN,2929,AVENUE R,11229,7189987851,Italian,40.607418586159,-73.943003631919
40366222,KILLARNEY ROSE,MANHATTAN,80,BEAVER STREET,10005,2124221486,Irish,40.705338706862,-74.008692264913
40366230,DON PEPPE,QUEENS,135-58,LEFFERTS BOULEVARD,11420,7188457587,Italian,40.670258237563,-73.820976082388
40366356,BLARNEY CASTLE,QUEENS,202-24,ROCKAWAY POINT BOULEVARD,11697,7186344503,American,40.560775789189,-73.911783397474
40366471,ROLL-N-ROASTER,BROOKLYN,2901,EMMONS AVENUE,11235,7187695831,American,40.58386660862,-73.939690057418
40366473,TIO PEPE,MANHATTAN,168,WEST    4 STREET,10014,2122426480,Spanish,40.732056597098,-74.001443280258
40366487,BRENNAN & CARR,BROOKLYN,3432,NOSTRAND AVENUE,11229,7187691254,American,40.600385883899,-73.94189333042
40366497,THE PUNCH BOWL,BRONX,5820,BROADWAY,10463,6463599068,American,40.885206062282,-73.900573930546
40366543,JARDIN DE CHINA,QUEENS,37-37,JUNCTION BOULEVARD,11368,7184763755,Chinese/Cuban,40.750754804569,-73.870360475566
40366574,BLARNEY STONE,MANHATTAN,11,TRINITY PLACE,10006,6466698197,Irish,40.706523941132,-74.013846556301
40366652,FASCATI'S PIZZERIA,BROOKLYN,80,HENRY STREET,11201,7182371278,Pizza,40.698443928676,-73.992545623939
40366711,LI GRECI'S STAATEN RESTAURANT,STATEN ISLAND,697,FOREST AVENUE,10310,7184486000,American,40.629475941557,-74.11233734162
40366716,SHUN LEE PALACE,MANHATTAN,155,EAST   55 STREET,10022,2123718844,Chinese,40.759376653074,-73.96948371139
40366742,TAMAQUA,BROOKLYN,84,EBONY COURT,11229,7186469212,Bottled Beverages,40.59435177089,-73.930156614832
