camis,yelp_id,yelp_rating,yelp_reviews,yelp_price,yelp_category,high_rating
30075445,LG9gS6YnT5NwootBWp7gPA,4.0,82.0,2.0,"bakeries,desserts",1
30191841,oo77ZO5cj9M2NRdTqEgHvQ,3.5,141.0,2.0,"irish,pubs",0
40356018,g8fAhVqBsC-BN6otcn85OA,4.5,56.0,0.0,catering,1
40356483,Pe6MsH2DW0CXjvUtxUpI4A,3.3,68.0,2.0,delis,0
40356731,Q18r5FKi2qkQhtKZqWR8ww,4.4,67.0,1.0,icecream,1
40357217,C3spvfEd8JQJie-yixRgpQ,4.2,591.0,2.0,"vietnamese,desserts,coffee",1
40359480,_ysOWxPCLp0zILZWrREXoA,3.0,104.0,2.0,"japanese,asianfusion",0
40359705,FB6HhBklpskPHKIACSUJAQ,3.5,1491.0,2.0,"hotdog,seafood,burgers",0
40360045,kxaWgiNkVNBJduLbvjebvA,4.2,6.0,0.0,catering,1
40361618,t2eaCKKC0_d3z6A9g4SAEw,4.9,20.0,1.0,"delis,sandwiches",1
40361757,,,,,,0
40362222,VLGmFHE4s0Sfu0piMVQa1Q,4.7,694.0,2.0,"newamerican,cocktailbars,breakfast_brunch",1
40362264,3WlZYZLQI3Q9hbNH-0ooLA,3.7,13.0,1.0,grocery,0
40362274,CowisEVeVb4H3go-zKBZVg,3.4,527.0,2.0,"movietheaters,cafes,bars",0
40362432,vrccemlXVyVTlV6Zz_SKxw,4.2,9.0,1.0,chinese,1
40362869,,,,,,0
40363298,k9M4bq-6GUCF9OHif86S1Q,2.9,135.0,2.0,"sandwiches,catering,coffee",0
40363427,CKZAuCQePLv6OjDyrmqy-A,3.9,79.0,1.0,"bagels,bakeries,coffee",0
40363834,KJubjg0t1ipFQ6ZQMsjVig,2.4,25.0,2.0,"icecream,desserts,customcakes",0
40363920,Kg1OqaEPNFFL5FuqnALdWQ,4.2,591.0,2.0,"delis,sandwiches,burgers",1
40364179,4GYc1Ld8r4rGQJKz_Qp07A,3.3,497.0,2.0,"southern,bbq,soulfood",0
40364220,WtZCvuvO40ExJdpOGeLgqA,4.1,73.0,1.0,"bagels,breakfast_brunch,sandwiches",1
40364296,O2o6-JNs0ERRdugdwtbmxg,2.7,12.0,0.0,chinese,0
40364335,4yPqqJDJOQX69gC66YUDkA,4.0,7451.0,4.0,steak,1
40364347,6JGzboP5YAdaSTk7T4Bxzg,4.3,43.0,0.0,"social_clubs,venues,nonprofit",1
40364373,iQo5aJwTL_ZrXCdPFKq-RA,4.1,332.0,3.0,italian,1
40364389,Q02uPdw8j8yDIVSPyJATjA,3.6,464.0,2.0,"tradamerican,bars",0
40364439,RQi2YmAkk8g9WdNStAhfbQ,3.7,616.0,2.0,"spanish,bars,seafood",0
40364443,8HkB3JfIj7_g-MN5ujoRig,4.6,1650.0,0.0,"landmarks,trainstations",1
40364449,XA7phnS0fBfLR8xdsngiUQ,4.4,68.0,1.0,"catering,german,beerbar",1
40364467,TKP4Boa53E5KAVcVRITHww,3.4,102.0,0.0,"sports_clubs,social_clubs",0
40364518,J4Aji-XOfYXzqH9IV4NQqQ,3.4,224.0,1.0,"arcades,divebars",0
40364531,MyhgaCCOkGY-D7lekiWkEQ,4.4,70.0,0.0,"coffee,cocktailbars,desserts",1
40364572,ZPo-xIreq2EcdrbJXZVS-w,3.6,152.0,2.0,"steak,tradamerican",0
40364581,LWDX1jKrNE8334jF6XenYQ,3.7,2128.0,2.0,"bakeries,diners",0
40364691,k7DdoOr_vkFhaGtSOmHwFg,3.5,665.0,4.0,"newamerican,tea,breakfast_brunch",0
40364715,dqXZa8fcvHsFvtZVtwRNkA,3.4,1432.0,4.0,steak,0
40364744,ZL5L8z-i6jAH_TKa2j1wPw,4.4,39.0,1.0,pizza,1
40364858,59yR-CIhOuW7a897jmtlrA,4.0,8.0,0.0,countryclubs,1
40364956,9Vde1naZmuDQjwsR96JXGA,0.0,0.0,0.0,sports_clubs,0
40365013,ITadz4uFmVqydui3XQpXGg,4.7,20.0,0.0,"wedding_planning,venues",1
40365075,QArou0r7CmLNPWYRA9ecog,4.3,2085.0,1.0,"divebars,breweries,beerbar",1
40365120,vyWK3MPrl_-_dow7U-tf2A,3.0,1.0,0.0,swimminglessons,0
40365166,8XLhXJcJ2XbQ8dTBY9YyQg,3.7,1719.0,2.0,"tradamerican,burgers,divebars",0
40365239,IIvXlBTC9-Yy3k7H4t88IQ,3.2,251.0,2.0,"tradamerican,sportsbars,burgers",0
40365288,PmFFar8XTHHft1BVE0NpCg,3.2,176.0,2.0,"tradamerican,karaoke,bars",0
40365387,BgGz5IdV53bGb4o7opR5zg,4.0,907.0,2.0,italian,1
40365499,0PNqgljlrf1J3gCPY5NP8A,3.8,135.0,2.0,"sportsbars,pubs",0
40365525,BJL3JbPPX97a58GTURvTxA,4.1,1221.0,2.0,"bakeries,donuts,coffee",1
40365546,Vd7BOoV2q7qBCNzfGSRf_w,4.6,56.0,1.0,"breakfast_brunch,dominican,tradamerican",1
40365577,geTFpY84Tp-nVTXflnxtDA,3.2,427.0,2.0,"pizza,italian,pastashops",0
40365627,LbGAKVX3cwZj4fUC2XOLxg,3.8,207.0,2.0,diners,0
40365632,P90fQ5WHs381XvgEibs9OQ,4.1,303.0,1.0,pizza,1
40365644,lUQR6cZlHHKXOksH5xOTqA,3.9,548.0,2.0,"tradamerican,wine_bars,sandwiches",0
40365726,1o5dCnbY1Y9de7ZbdsxUsQ,3.4,369.0,3.0,"italian,newamerican",0
40365784,VXyk19eG4B2I6noumvfHCw,3.6,331.0,2.0,"italian,venues,seafood",0
40365789,goqTQ4tOD-asC_ZJBW9l7w,3.9,1381.0,3.0,"italian,southern,wine_bars",0
40365841,vbGqzhH_exG5HOG1I23kvg,4.0,1124.0,3.0,italian,1
40365844,Y5TQBIGNf0UQbRSL7lxe1g,3.9,12.0,1.0,irish_pubs,0
40365882,-9NO2IDCJMyNGZMAQ1-VQw,4.3,2856.0,2.0,pizza,1
40365904,GfLL6-n6UNZ07SEHfjeIgA,3.8,85.0,1.0,"dimsum,cafes",0
40365938,is9vr6YX4NPP5cCp-K92Qw,4.2,148.0,2.0,newamerican,1
40365942,EFihj7vsRRXiF5la-UURyw,3.7,1008.0,2.0,"seafood,cantonese",0
40365968,HQSifWLNBh_LgMqronwAYA,3.9,269.0,1.0,divebars,0
40365972,yb37Jd1cANsvv419Pl_wsA,3.4,12.0,2.0,"bars,tradamerican",0
40366002,Gh7XAH2xT3lnpOERhzSNxA,4.4,416.0,1.0,pizza,1
40366054,lwofc642jUDe0PSJ_Z_VWg,4.3,17.0,1.0,pubs,1
40366132,GXq2Qsm--A7QQt9rTXldig,4.2,1075.0,2.0,"pizza,italian,chicken_wings",1
40366154,uYHN9Vw3V1ajDGRnNDtbYw,4.4,526.0,3.0,"italian,seafood,pastashops",1
40366222,Z_W3doydEDnnG7PPc3fW5Q,3.8,192.0,2.0,pubs,0
40366230,vXYFa2qzppkGiOiVPrLwDQ,4.1,812.0,3.0,"italian,desserts,seafood",1
40366356,QrkZMWzshbMuR0rC4JjqqA,3.8,21.0,0.0,"divebars,tradamerican",0
40366471,fPJoi_TVRhjBdPYBZS6kXg,4.0,1525.0,2.0,"tradamerican,sandwiches,pizza",1
40366473,Ly-0vKFgGSn9PsHsPEk5gw,3.6,558.0,2.0,"spanish,breakfast_brunch,seafood",0
40366487,HqVdTKCpOZWrCvUF9rG2sA,4.0,877.0,2.0,tradamerican,1
40366497,9T47rsUxcgkkCBuDRjRWkg,4.4,33.0,1.0,irish_pubs,1
40366543,sGwQYKPaMJ-tD2E4fQ0EJQ,4.1,306.0,2.0,"chinese,latin",1
40366574,C13a1v9NZqWrGJnuCCil5A,2.9,71.0,2.0,"tradamerican,divebars,sandwiches",0
40366652,cS2dquz8jSagXqeVKBwSsg,3.8,296.0,1.0,"pizza,italian",0
40366711,xJ25KJSMBPC1xi-qhrVF7A,4.1,62.0,2.0,"newamerican,venues",1
40366716,Qwd4Tv-CqgO2Yl9zZgkKOQ,3.1,384.0,3.0,chinese,0
40366742,SCTIio8NX0WJVrKA-8DuXw,5.0,3.0,0.0,"bars,seafood",1
40366879,_BsM67A1_JqAmgXA3SznKg,3.9,334.0,2.0,"argentine,seafood,salad",0
40366928,anqM_kXIrPMfY02FoULS6g,4.4,14.0,0.0,countryclubs,1
40366929,b1_M4pXHVNPfIqFAPF1IBw,0.0,0.0,0.0,grocery,0
40366938,web6m4jvI_IRHDhBNOdgUQ,4.0,95.0,0.0,"coffee,bakeries",1
40366961,bUqqO8yh3KMFJoIWNMLx9w,3.7,221.0,1.0,"southern,soulfood",0
40367005,2IgRhPCG78LaJ4rptrjhcw,3.9,201.0,1.0,pizza,0
40367161,QpwJHEyZSwAxrLMh3cqmRg,4.5,116.0,0.0,venues,1
40367189,t9m2CumYaktkVO1hs_I4Jw,3.4,353.0,2.0,"bars,tradamerican",0
40367232,9XoYLuNLbOtvnsh-o3xn-w,4.1,34.0,1.0,"pubs,divebars",1
40367240,yy42y6h3iLExmrkY7ssNqg,4.4,16.0,1.0,"pubs,sportsbars",1
40367241,77EedCTJY1biWIYSzAulCQ,3.5,1737.0,2.0,"tradamerican,bars,salad",0
40367338,z5hRX3iJ5Ty_S38iG_WY3Q,4.3,2362.0,2.0,"cocktailbars,newamerican,beerbar",1
40367339,TKP4Boa53E5KAVcVRITHww,3.4,102.0,0.0,"sports_clubs,social_clubs",0
40367365,2BrScW5a4HBDe85STpdYsQ,3.3,449.0,2.0,"diners,tradamerican,coffee",0
40367373,hPcNSnzW_oJMAoa7fIWKQw,3.7,492.0,2.0,"tradamerican,burgers,sandwiches",0
40367377,19o6iblcJvz2hdPouYhXgg,4.2,678.0,3.0,german,1
40367442,qQ7C6SjZMFZVCESBFs3JXg,0.0,0.0,0.0,divebars,0
40367728,J0SZjwe0Rc-H6mzl0oByxQ,3.3,447.0,2.0,"italian,wine_bars,pianobars",0
40367749,Yu31-BeC27cVc76jgKV1jw,3.7,739.0,2.0,"seafood,italian,bbq",0
40367752,,,,,,0
40367789,z-zXPW4_JIHWCSCwwbQLYg,3.6,1250.0,1.0,"pizza,italian",0
40367790,JgBR_IhVYSIdYo_ffJJeSA,2.2,24.0,1.0,"hotdogs,burgers,coffee",0
40367841,6n7D4amt9vEruR73tt3S9w,3.6,1085.0,3.0,"italian,pizza,tradamerican",0
40367860,vyoA8dxwScuMV_AsTcjQcg,4.2,5047.0,2.0,"pizza,italian",1
40367870,6MZMwOfXN3_O6wOR9pjNPA,4.1,651.0,1.0,pizza,1
40368018,wRxgZ0W3O9Z2WZnIxMtrTg,3.5,83.0,2.0,"breakfast_brunch,burgers,tradamerican",0
40368021,I2XhY76Mmc6yTg-aSBBHfQ,4.1,1456.0,0.0,zoos,1
40368022,qZd8cyy40xSlRkU4H2kN8Q,4.8,103.0,2.0,"brazilian,comfortfood,breakfast_brunch",1
40368025,I2XhY76Mmc6yTg-aSBBHfQ,4.1,1456.0,0.0,zoos,1
40368026,,,,,,0
40368034,o1p8Jq04Mf_j_IQ4B8Tnnw,3.2,141.0,2.0,"pizza,italian,newamerican",0
40368207,eob2iJPiR7-r2w4he0Tuig,3.7,281.0,2.0,"delis,kosher",0
40368271,oLt7V8jK7dRiyvZuW0TW8Q,3.6,140.0,1.0,divebars,0
40368291,00XV79_2JNj0XvVeBa76kQ,2.9,159.0,2.0,"diners,breakfast_brunch",0
40368313,NavBPhyeykbve1uVSOrDPg,3.4,718.0,2.0,"tradamerican,diners,soup",0
40368318,I4i0ZpoMDmQSNnHOtml0wA,3.6,202.0,2.0,"bars,newamerican,venues",0
40368338,qri1cY7RTYvz9CM_PCs83w,3.6,97.0,1.0,bars,0
40368374,xprzjm5svSSUCZOnaUbQDQ,4.1,712.0,1.0,"sportsbars,divebars",1
40368555,HPvz-PHt2PYWV_X9eQSlnA,3.8,864.0,3.0,italian,0
40368577,kU_nrNjP_dgbAxTfQi_1lA,3.8,42.0,1.0,pubs,0
40368581,rGBFrgp-_Pm2rYaDHmPyag,3.6,477.0,1.0,pianobars,0
40368632,w0dHYiT8t8vjulgEWgbAOw,2.7,112.0,0.0,movietheaters,0
40368752,BA6wd1pZTVu1DmrtiyTs8g,4.1,789.0,3.0,french,1
40368763,4gWfDOSSvEr3B7nYbZv0fA,3.5,2.0,0.0,apartments,0
40368801,mgtvQja9kg18FZ5_7VSF_A,3.7,191.0,3.0,"spanish,venues,tapas",0
40368809,KJxYqqWAyLDEcmhmAkMAZw,1.0,1.0,2.0,"delis,grocery",0
40368824,9D3vLjktqch0muwKmJeuQQ,4.0,6.0,2.0,"danceclubs,breakfast_brunch",1
40368897,6lUsFj0KCao678o9L7QwUw,4.2,1659.0,3.0,"japanese,sushi",1
40369012,WLUdIr-lmOnCkfXgH1JxVg,3.8,444.0,2.0,"pizza,italian",0
40369016,4Ph-BYPqykjVj9v3jg_BwA,3.4,225.0,2.0,"tradamerican,bakeries,breakfast_brunch",0
40369158,R2VLXk5qjDLhsP4R8Z9i2A,4.3,66.0,2.0,"irish,tradamerican,sportsbars",1
40369165,LP1CLHgZKA6oOJ737Pr74A,4.1,70.0,1.0,"pubs,sportsbars",1
40369213,G5Q4rQ9cdVI4GOroBCVmNA,2.6,174.0,0.0,bowling,0
40369262,6VkEYaQphDVsWy3C5Sh1Zg,3.7,114.0,1.0,pizza,0
40369299,kGrMEgi1Th7Fr4B4n_T8JQ,3.1,534.0,3.0,seafood,0
40369418,y800EdmdRpesUgQYN4VXNw,3.7,829.0,2.0,"italian,cafes,breakfast_brunch",0
40369482,nU9lEZpCnR7V_M14xV19NQ,3.6,86.0,1.0,"italian,pizza,sandwiches",0
40369521,wejLjvNQxkVfV4OGgMXgog,3.9,419.0,3.0,"tradamerican,wine_bars,lounges",0
40369608,4XX-zF8h5Lvrr22_tqU6-Q,4.1,1389.0,4.0,"newamerican,wine_bars,venues",1
40369619,Lwj5jEbgbu7pp75eQ5WuEA,3.6,81.0,0.0,"tradamerican,sportsbars,beerbar",0
40369641,D8z7FS2SB48zTjvch4bc0g,3.9,750.0,2.0,seafood,0
40369667,eMbxUEaIZGJOWyMPHUGFbQ,2.1,65.0,1.0,"hotdogs,burgers",0
40369669,MqUzQlvAeymiP2Jru_4oNw,2.8,25.0,1.0,"hotdogs,burgers",0
40369675,zdu5JvRSGleBPPe1X1DQEQ,3.4,131.0,1.0,"hotdogs,burgers",0
40369782,5lCu-WHXCJXHlGC2aMi9lQ,3.0,16.0,1.0,"hotdogs,burgers,coffee",0
40369878,tsvElYYtUBAEdfK6plnxlg,4.1,240.0,2.0,"italian,cocktailbars,coffee",1
40369958,IY9NuJdUQHkTjBqZYfFNSQ,3.7,1188.0,4.0,steak,0
40369983,fiIx-m0EB91ePwVprXkvLg,4.7,11.0,0.0,"sportsbars,tradamerican",1
40370015,tJxAlyeT5PRbUIyJ2wsv-A,4.0,523.0,2.0,"italian,seafood",1
40370150,ihYpptm9cEIA_omFUIimgg,4.5,10.0,1.0,divebars,1
40370167,l4BM-_MUraMyda59OSVwkA,3.6,22.0,0.0,"hotdogs,burgers",0
40370168,1PBlkYAEFhc0cpqNNvlkWg,4.0,477.0,2.0,"bars,tradamerican",1
40370436,o2SAcKbfOMkA71xUfyee6Q,4.0,325.0,3.0,italian,1
40370463,OtHJp8-Nw1rtoKdzkoVPxQ,3.1,146.0,2.0,"tradamerican,breakfast_brunch,cafes",0
40370507,NPb5VRMU-JQKLq9vOHPtfg,3.9,35.0,0.0,social_clubs,0
40370766,L3L6xDdrS8c67BLZROg79A,3.6,2015.0,4.0,"steak,tradamerican,newamerican",0
40370781,QU4Vk1Vb0hmAiJKq_5keow,1.9,85.0,1.0,"hotdogs,burgers,coffee",0
40370856,8O-nF9b9fQH4Zxu6ymcUPw,3.7,456.0,2.0,"mideastern,cafes",0
40370939,ntQ7O1YPMIOrQkynhXRBVg,4.1,208.0,2.0,italian,1
40371291,,,,,,0
40371684,,,,,,0
40371718,Tzag-LU1b-UVR58BfcCy9Q,3.2,85.0,1.0,"diners,breakfast_brunch",0
40371727,13GEQ-lgTcydZda7lhv_hw,4.1,250.0,2.0,italian,1
40371805,LT6DapdlFjs7Z64-ezcCPA,3.8,76.0,1.0,gaybars,0
40371906,4Wv_cIRGpAutWoS69u1NGw,5.0,2.0,1.0,bars,1
40371988,nAJAr-87dvGrpkohbpxL0g,3.0,285.0,2.0,"diners,breakfast_brunch",0
40372112,p8J74A06HXFcCnqSWJV3QQ,3.7,200.0,2.0,"newamerican,italian,venues",0
40372196,JKAT27-RC9cQXHAhrOOy5A,1.9,47.0,1.0,"hotdogs,burgers,coffee",0
40372262,kuSkLiSq9gHuytBBOOYeeQ,3.9,168.0,3.0,french,0
40372357,-RjWOm2CnGmzwmv4ZMfI3Q,3.3,404.0,2.0,"italian,seafood,lounges",0
40372422,rpmtBbKqYtSFvjIXIA65GA,2.8,105.0,1.0,"hotdogs,burgers",0
40372445,_OzfOh1aJM4PFCG-qpVknQ,3.1,776.0,2.0,"bakeries,cocktailbars,modern_european",0
40372466,kr9FFwsZ0uNxNEJTfHu3_g,2.9,42.0,2.0,"newamerican,brasseries",0
40372485,fpWFRfe00wN-ygWW5qt8Hw,0.0,0.0,0.0,,0
40372596,hKrWlGTrbih2b5Go95tlpw,4.4,71.0,1.0,"bakeries,caribbean",1
40372618,Ic2N-saIWq_ttU2S2XWWEg,2.1,41.0,1.0,"hotdogs,burgers",0
40372631,ABLWvqnpjYT7GZ7jssRx5A,4.3,70.0,1.0,pizza,1
40372971,DupZTDIXz9Es6eonKqI0IQ,4.4,7.0,0.0,tennis,1
40373113,iT_AIzQVbshA9WjW_vM9_g,3.0,371.0,2.0,"diners,tradamerican",0
40373118,MHVD3EYZKEF22dtVoGXU0Q,2.8,116.0,2.0,diners,0
40373160,oYPNV7h-6qqpYnXxvQc3ig,3.1,165.0,1.0,pizza,0
40373462,ifIfq2EwEohCgoKnG68_LA,4.4,241.0,2.0,"italian,mediterranean,bars",1
40373500,StpOKezaW-AyN2xA1EJKvw,3.9,1820.0,3.0,"cuban,tapas,lounges",0
40373597,f1LCsop43r375GE1IXdcsQ,3.1,55.0,1.0,pizza,0
40373669,vlepW-Y_RDQaDMLtEwHWmg,4.5,285.0,3.0,"cocktailbars,beerbar,tapas",1
40373888,DtnlLLvcqeEUIyZTypHnzw,4.1,688.0,3.0,italian,1
40373909,5lCu-WHXCJXHlGC2aMi9lQ,3.0,16.0,1.0,"hotdogs,burgers,coffee",0
40373912,NT2mKx3_kxO9tpjeP2Sv6Q,3.9,504.0,2.0,"gastropubs,breakfast_brunch,cocktailbars",0
40373937,wobICp6lQP7Y6dfnJ_4Ujw,2.7,616.0,3.0,dimsum,0
40374136,znln0EIza5iK200qO_8Kdg,3.3,268.0,2.0,seafood,0
40374192,JliAIBARXi9uISzNG26DVw,3.6,375.0,3.0,italian,0
40374266,07lz5ngDg8pFsJVsaFLf0A,4.3,3.0,0.0,"musicvenues,cocktailbars",1
40374277,huzwtLDeEGDZ6BIsMQF69g,3.5,305.0,2.0,"pubs,irish",0
40374395,oNBp_upCzmqbmhdoGVlBdQ,4.6,111.0,0.0,"catering,venues,countryclubs",1
40374415,o0G_zp_XgP6Pr-WY4LLHLQ,3.6,127.0,3.0,japanese,0
40374834,d7LM2UaxRQachlWhZGP_tg,3.4,784.0,2.0,"italian,wine_bars,seafood",0
40374974,oyxtaqfFZkP_vC0M6GfkbA,3.9,344.0,3.0,"french,diners",0
40375108,cziGv07uFt_CELMNrTqzEw,4.0,189.0,1.0,divebars,1
40375286,70c-BeXWi6mO9IN3_vnpdg,4.2,1160.0,2.0,pizza,1
40375369,d5EpFYAMT0bUYqxgKWfKgQ,3.8,142.0,1.0,pizza,0
40375616,ezu7Ai6ADfHDYCklvuipWA,4.2,122.0,3.0,italian,1
40375699,WJS06XxRdc6DD1s4LWE9HA,4.4,1979.0,2.0,"seafood,thai,raw_food",1
40375929,H1DhKd8ImdCBXgOHbzUhqQ,4.5,32.0,2.0,restaurants,1
40375953,U5hCNNyJmb7f3dmC1HTzSQ,4.0,6850.0,2.0,"bakeries,breakfast_brunch,burgers",1
40376077,x3Ziu2bwI7tcP5juyzxCaw,3.6,561.0,2.0,"pizza,greek,burgers",0
40376142,4eGCuMwKRCCrYHOobEsFpA,4.3,319.0,3.0,"italian,wine_bars",1
40376204,kNxYppnUMQEBj7TU6burmg,3.2,430.0,3.0,"pizza,italian,desserts",0
40376290,nW6C8JjZhZs-_NBiSvLqrA,2.6,101.0,2.0,"diners,tradamerican",0
40376352,GXjzRZr87STkEk1DZW8jqw,3.0,673.0,3.0,"jazzandblues,bars,tradamerican",0
